bin,mean_predicted,mean_actual,count,calibration_gap
"(-13.45, 1.469]",1.3213046370926615,1.294818652849741,1930,-0.02648598424292059
"(1.469, 1.71]",1.5745225017360067,1.4854771784232366,1928,-0.08904532331277015
"(1.71, 2.282]",1.9515758024141407,1.939802802283342,1927,-0.011773000130798739
"(2.282, 3.572]",2.8374427495838273,2.9019709543568464,1928,0.06452820477301913
"(3.572, 6.211]",4.753993012254726,4.696058091286307,1928,-0.057934920968418346
"(6.211, 11.738]",8.595762287932008,8.527489626556017,1928,-0.06827266137599075
"(11.738, 27.259]",18.02112385789924,17.67790456431535,1928,-0.34321929358388914
"(27.259, 86.444]",51.83036752082999,51.32520746887967,1928,-0.5051600519503197
"(86.444, 309.147]",170.32541721661087,172.7188796680498,1928,2.3934624514389213
"(309.147, 2534.606]",695.4466351454196,719.6925868325558,1929,24.2459516871362
