hour,count,mean_abs_error,median_abs_error,mean_error,rmse,p95_abs_error
0,823,11.637593079919833,2.3403456660889876,0.5770146929886878,31.388865954710507,48.55280505833918
1,751,8.070567841307435,1.9794095623748151,0.2678932670781879,22.39088025808035,32.02420409439205
2,689,6.264818083766286,1.6995674967834105,0.2928635395090027,15.305924122194181,26.179119254208903
3,625,4.795058967522546,1.6231882367806065,0.12278178419154813,10.955998957375144,18.458728127104752
4,631,5.5955846368595346,1.677207446170051,0.4646515699977578,14.577488875284024,22.447079654458
5,692,7.681098505813827,1.844549049536668,0.786817650461998,17.522505450062756,39.82118608150782
6,761,15.892458243391127,2.793823482364943,3.929044008041809,39.277128402685875,77.22451589374276
7,876,16.48017233713532,2.5967866422541146,2.873254191386079,38.765872954238006,88.62535417296276
8,902,16.072399609496866,2.4533507935124295,1.8572824615226131,39.40622344117285,84.74433666259002
9,856,15.339620562303578,2.4159993150209615,3.8558677574611746,37.2085287604371,78.24975132821547
10,772,14.355180426981507,2.4979591386141013,0.47855096561724125,34.12719648192921,74.81924845971643
11,751,16.458972683663287,2.5372915078291953,2.5039454871448568,41.1118100376058,77.58784462900866
12,769,14.839575983955838,1.8926529983445333,0.48328691339789104,36.18241913912312,87.88519719797893
13,770,14.118039624215871,2.0746869410026916,1.154216825370798,34.953588961392725,66.7514863709504
14,779,15.537310419005845,2.212877819199273,1.6209146572045696,36.11721915568458,76.379559670438
15,804,13.728936104195126,2.0934856014348915,2.699278922624909,31.96827827205879,71.11755974950695
16,795,10.218408431441977,1.9387951461415152,1.0325695293539283,25.18699950849376,44.07358736441661
17,828,13.324040184878635,2.4605325852737763,4.7333858718706034,33.73385608278207,61.35745305872555
18,859,15.235564254801005,2.2630166991261476,7.901473048585347,37.00353300663858,75.67673447574003
19,861,15.55545084206055,2.4231872586192864,7.276393062159122,38.21374096902257,79.50336380206227
20,875,14.315201598069875,2.212268752059126,2.8273654044248007,34.90304134899979,73.69364125164297
21,899,14.628001367163712,1.9401608444823015,4.5416519059481635,41.907114024439366,73.57917268014008
22,954,13.611786017664906,2.104404544503904,4.050611383081911,37.304064321692294,64.51000883592398
23,960,12.629403770049782,2.3409261511819186,2.0343418612117143,31.270675389771544,64.16671446620316
