price,adjusted_demand,revenue,objective_score
28.6875,30.473748545640206,874.2156614030534,873.2144452944657
29.6875,30.19617566571387,896.4489650758806,895.6462043794781
30.6875,29.92113108333371,918.2047101198032,917.5785063073449
31.6875,29.64859176927408,939.4897516888724,939.0182062321172
32.6875,29.37853490407313,960.3108596768905,959.9720740475973
33.6875,29.110937876122115,980.6747197018638,980.4467953717914
34.6875,28.845778279772162,1000.5879340795968,1000.4489725205041
35.6875,28.58303391345828,1020.0570227865423,1019.9851254701881
36.6875,28.322682777840413,1039.0884244120202,1039.0616928101633
37.6875,28.064703073961486,1057.6884970999236,1057.685032684323
38.6875,27.80907320142218,1075.8635194800206,1075.8614237224351
39.6875,27.555771756572348,1093.619691588965,1093.5970659611532
40.6875,27.304777530718937,1110.9631357811268,1110.898081754848
41.6875,27.056069508350163,1127.8998976293474,1127.77051667636
42.6875,26.809626865375925,1144.4359468157347,1144.220340407798
43.6875,26.565428967384232,1160.5771780125986,1160.2534476214712
44.6875,26.323455367913475,1176.3294117536334,1175.8756588510741
45.6875,26.08368580674049,1191.698395295456,1191.0927213532239
46.6875,25.846100208184172,1206.6898034695985,1205.9103099594522
47.6875,25.61067867942457,1221.3092395250592,1220.3340279187578
48.6875,25.377401508837266,1235.5622359615145,1234.3694077308166
49.6875,25.146249164342954,1249.4542553532906,1248.0219119699552
50.6875,24.917202291772025,1262.9906911641945,1261.2969340999805
51.6875,24.69024171324406,1276.1768685533023,1274.1997992799684
